[inf] 2018-03-30 06:43:11 | Forging enabled on account: 1985747353249878994BL
[inf] 2018-03-30 06:43:11 | Forging enabled on account: 4352865078142689417BL
[inf] 2018-03-30 06:43:11 | Forging enabled on account: 9544250769233344448BL
[inf] 2018-03-30 06:43:11 | Forging enabled on account: 9156665508521412350BL
[inf] 2018-03-30 06:43:11 | Forging enabled on account: 17061181679922628048BL
[inf] 2018-03-30 06:43:11 | Forging enabled on account: 17397184392260192404BL
[inf] 2018-03-30 06:43:11 | Forging enabled on account: 9689696180735914724BL
[inf] 2018-03-30 06:43:11 | Forging enabled on account: 9564721841848977606BL
[inf] 2018-03-30 06:43:11 | Forging enabled on account: 8288118741110045647BL
[inf] 2018-03-30 06:43:11 | Forging enabled on account: 9656772498701861271BL
[inf] 2018-03-30 06:43:11 | Forging enabled on account: 4334126863184947391BL
[inf] 2018-03-30 06:43:11 | Forging enabled on account: 10169370494149952980BL
[inf] 2018-03-30 06:43:11 | Forging enabled on account: 14985183978043401251BL
[inf] 2018-03-30 06:43:11 | Forging enabled on account: 13595684256460389358BL
[inf] 2018-03-30 06:43:11 | Forging enabled on account: 4001385762203583317BL
[inf] 2018-03-30 06:43:11 | Forging enabled on account: 12543461868183912847BL
[inf] 2018-03-30 06:43:11 | Forging enabled on account: 5560593783842012320BL
[inf] 2018-03-30 06:43:11 | Forging enabled on account: 2854700675207277182BL
[inf] 2018-03-30 06:43:11 | Forging enabled on account: 13977220578985401615BL
[inf] 2018-03-30 06:43:11 | Forging enabled on account: 16263519648677138585BL
[inf] 2018-03-30 06:43:11 | Forging enabled on account: 15713340354022093729BL
[inf] 2018-03-30 06:43:11 | Forging enabled on account: 1719285183629918158BL
[inf] 2018-03-30 06:43:11 | Forging enabled on account: 18037746276812732205BL
[inf] 2018-03-30 06:43:11 | Forging enabled on account: 12463498540420070346BL
[inf] 2018-03-30 06:43:11 | Forging enabled on account: 9880486700589303803BL
[inf] 2018-03-30 06:43:11 | Forging enabled on account: 11881341569105965734BL
[inf] 2018-03-30 06:43:11 | Forging enabled on account: 4888100210141674956BL
[inf] 2018-03-30 06:43:11 | Forging enabled on account: 14864104690996480022BL
[inf] 2018-03-30 06:43:11 | Forging enabled on account: 14146782149105926969BL
[inf] 2018-03-30 06:43:11 | Forging enabled on account: 14912434325145518916BL
[inf] 2018-03-30 06:43:11 | Forging enabled on account: 12666376582120558998BL
[inf] 2018-03-30 06:43:11 | Forging enabled on account: 3955332221047142833BL
[inf] 2018-03-30 06:43:11 | Forging enabled on account: 4202310473964316896BL
[inf] 2018-03-30 06:43:11 | Forging enabled on account: 4155243511203793992BL
[inf] 2018-03-30 06:43:11 | Forging enabled on account: 8869317134629867451BL
[inf] 2018-03-30 06:43:11 | Forging enabled on account: 6626900501388356933BL
[inf] 2018-03-30 06:43:11 | Forging enabled on account: 3083483698379318829BL
[inf] 2018-03-30 06:43:11 | Forging enabled on account: 1136292546396764388BL
[inf] 2018-03-30 06:43:11 | Forging enabled on account: 4092896395826467009BL
[inf] 2018-03-30 06:43:11 | Forging enabled on account: 16393212359163578383BL
[inf] 2018-03-30 06:43:12 | Forged new block id: 12345755410842807246 height: 2478 round: 25 slot: 5828299 reward:100000000
[ERR] 2018-03-30 06:43:16 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:43:20 | Forged new block id: 17432487067791209107 height: 2479 round: 25 slot: 5828300 reward:100000000
[ERR] 2018-03-30 06:43:21 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:43:26 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:43:30 | Forged new block id: 14080640926259193669 height: 2480 round: 25 slot: 5828301 reward:100000000
[ERR] 2018-03-30 06:43:31 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:43:36 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:43:40 | Forged new block id: 11508740724916124686 height: 2481 round: 25 slot: 5828302 reward:100000000
[ERR] 2018-03-30 06:43:41 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:43:46 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:43:50 | Forged new block id: 9897388486632777597 height: 2482 round: 25 slot: 5828303 reward:100000000
[ERR] 2018-03-30 06:43:51 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:43:56 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:44:00 | Forged new block id: 16488393148402610866 height: 2483 round: 25 slot: 5828304 reward:100000000
[ERR] 2018-03-30 06:44:01 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:44:06 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:44:11 | Forged new block id: 12414702641137676998 height: 2484 round: 25 slot: 5828305 reward:100000000
[ERR] 2018-03-30 06:44:11 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:44:16 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:44:20 | Forged new block id: 17657498105993322527 height: 2485 round: 25 slot: 5828306 reward:100000000
[ERR] 2018-03-30 06:44:21 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:44:26 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:44:30 | Forged new block id: 4380356775004005209 height: 2486 round: 25 slot: 5828307 reward:100000000
[ERR] 2018-03-30 06:44:31 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:44:36 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:44:40 | Forged new block id: 10782780815511888966 height: 2487 round: 25 slot: 5828308 reward:100000000
[ERR] 2018-03-30 06:44:41 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:44:46 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:44:50 | Forged new block id: 5063597424754655599 height: 2488 round: 25 slot: 5828309 reward:100000000
[ERR] 2018-03-30 06:44:51 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:44:56 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:45:00 | Forged new block id: 15165716874694378378 height: 2489 round: 25 slot: 5828310 reward:100000000
[ERR] 2018-03-30 06:45:01 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:45:06 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:45:11 | Forged new block id: 17938878707359771078 height: 2490 round: 25 slot: 5828311 reward:100000000
[ERR] 2018-03-30 06:45:11 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:45:16 | Discovering new peers failed - "No acceptable peers found"
